ID	CODE	NAME
1	02Q	Titan Airways
2	04Q	Tradewind Aviation
3	05Q	Comlux Aviation, AG
4	06Q	Master Top Linhas Aereas Ltd.
5	07Q	Flair Airlines Ltd.
6	09Q	Swift Air, LLC
7	0BQ	DCA
8	0CQ	ACM AIR CHARTER GmbH
9	0GQ	Inter Island Airways, d/b/a Inter Island Air
10	0HQ	Polar Airlines de Mexico d/b/a Nova Air
11	0J	JetClub AG
12	0JQ	Vision Airlines
13	0KQ	Mokulele Flight Services, Inc.
14	0LQ	Metropix UK, LLP.
15	0MQ	Multi-Aero, Inc. d/b/a Air Choice One
16	0OQ	Open Skies
17	0Q	Flying Service N.V.
18	0QQ	TAG Aviation (UK) Ltd.
19	0RQ	TAG Aviation Espana S.L.
20	0TQ	Corporatejets, XXI
21	0UQ	Comlux Malta, Ltd.
22	0VQ	Ocean Sky (UK) Limited
23	0WQ	Avjet Corporation
24	0YQ	Comlux Malta Ltd.
25	10Q	Swiss Air Ambulance
26	12Q	Unijet
27	13Q	Chartright Air Inc.
28	14Q	London Air Services Limited
29	15Q	Air Alsie A/S
30	16	PSA Airlines Inc.
31	17	Piedmont Airlines
32	17Q	Albinati Aeronautics SA
33	1AQ	Charter Air Transport, Inc.
34	1BQ	Dynamic Airways, LLC
35	1DQ	Island Airlines LLC
36	1EQ	KaiserAir, Inc.
37	1FQ	Alsek Air
38	1HQ	International Jet Management GmbH
39	1I	Sky Trek International Airlines
40	1IQ	Jet link AG
41	1JQ	Exec Direct Aviation Services Limited
42	1LQ	Bertelsmann Aviation GmbH
43	1MQ	Twin Cities Air Service LLC
44	1NQ	JSC The 224th Flight Unit State Airlines
45	1PQ	Makani Kai Air Charters
46	1QQ	City Wings Inc dba Seaflight
47	1RQ	Sun Air Express LLC dba Sun Air International
48	1SQ	Star Marianas Air Inc.
49	1TQ	Rhoades Aviation dba Transair
50	1UQ	Gainjet Aviation SA
51	2E	Smokey Bay Air Inc.
52	2F	Frontier Flying Service
53	2K	Aerolineas Galapagos S A Aerogal
54	2M	Midway Express Airlines
55	2O	Island Air Service
56	2R	Regal Air
57	2T	Canada 3000 Airlines Ltd.
58	2U	Valley Air Express Inc.
59	37	Zeal 320
60	3C	Regions Air, Inc.
61	3F	Pacific Airways, Inc.
62	3M	Silver Airways
63	3S	AeroLogic GmbH
64	3U	Sichuan Airlines Co Ltd.
65	4B	Olson Air Service
66	4C	Aerovias de Intergracian Regional
67	4E	Tanana Air Service
68	4E (1)	British Airtours Limited
69	4H	Belize Trans Air
70	4M	LAN Argentina
71	4M (1)	Lan Dominica
72	4N	Air North
73	4O	ABC Aerolineas SA de CV dba Interjet
74	4R	Regent Air Corporation
75	4S	Sol Air (Aero Hunduras)
76	4S (1)	Conner Air Lines Inc.
77	4T	Belair Airlines Ltd.
78	4W	Warbelow
79	4Y	Yute Air Aka Flight Alaska
80	5B	Bellair Inc.
81	5C	C.A.L Cargo Airlines
82	5D	Aerolitoral
83	5F	Arctic Circle Air Service
84	5G	Skyservice Airlines, Inc.
85	5G (1)	Queen Air
86	5J	Private Jet Expeditions
87	5L	Aerosur
88	5V	Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
89	5X	United Parcel Service
90	5Y	Atlas Air Inc.
91	6A	Aviacsa Airlines
92	6B	TUIfly Nordic A.B.
93	6C	Cape Smythe Air Service
94	6F	Laker Airways Inc.
95	6H	Israir Airlines
96	6P	Pacific East Air Inc.
97	6R	Aerounion Aerotransporte de Carga Union SA de CV
98	6U	Air Ukraine
99	6Y	Nicaraguense De Aviacion Sa
100	7B	Krasair
101	7C	Jeju Air Co Ltd.
102	7F	First Air
103	7G	MK Airlines Ltd.
104	7G (1)	Bellair Inc. (1)
105	7H	Era Aviation
106	7I	Insel Air International B V
107	7M	Aeromonterrey S.A.
108	7N	Inland Aviation Services
109	7P	Apa International Air S.A.
110	7Q	Pan American World Airways Dominicana
111	7S	Arctic Transportation
112	7S (1)	Skystar International Inc.
113	7Z	Lb Limited
114	8C	Air Transport International
115	8D	Servant Air Inc.
116	8E	Bering Air Inc.
117	8F	Wilburs Inc.
118	8J	Jetall Airways
119	8L	Servicio Aereo Leo Lopez
120	8N	Flagship Airlines Inc.
121	8Q	Baker Aviation Inc.
122	8R	Edelweiss Air Ag
123	8V	Wright Air Service
124	9E	Endeavor Air Inc.
125	9J	Pacific Island Aviation
126	9K	Cape Air
127	9L	Colgan Air
128	9M	Central Mountain Air
129	9N	ANA & JP Express Co. Ltd.
130	9R	Flagship Express Services
131	9S	Southern Air Inc.
132	9T	TravelspanGT, Inc. S.A.
133	9V	Avior Airlines, C.A.
134	9W	Jet Airways (India) Limited
135	A0	Elysair d/b/a L'Avion
136	A2	Cielos De Peru
137	A4	Southern Wind Airlines
138	A7	Air Comet S.A.
139	A7 (1)	Air 21
140	AA	American Airlines Inc.
141	AAA	Associated Aviation Act.
142	AAB	Antilles Air Boats Inc.
143	AAE	AAA Airlines
144	AAI	Audi Air Inc.
145	AAL	Argosy Air Lines Inc.
146	AAP	Armstrong Air Service Inc.
147	AAQ	Advance Air Charters
148	AAR	Altair Airlines Inc.
149	AAT	Air Sunshine Inc.
150	AAV	Alpine Air
151	AAZ	Alaska Aeronautical Indust.
152	AB	Air Berlin PLC and CO
153	ABH	Air Bahia
154	ABI	Airbama Incorporated
155	ABO	Aeronaves Boringuena Inc.
156	ABX	ABX Air, Inc.
157	AC	Air Canada
158	ACA	Alaska Central Airways Inc.
159	ACD	Academy Airlines
160	ACG	Air Cargo Express Inc.
161	ACH	Island Airlines Hawaii Inc.
162	ACI	AAA-Action Air Carrier Inc.
163	ACJ	Atlantic Coast Jet Inc.
164	ACK	Air Central Inc.
165	ACL	Check-Air Inc.
166	ACN	Alliance Airlines
167	ACO	Air Cargo Enterprises Inc.
168	ACP	Air Chaparral Inc.
169	ACQ	Aeronautica De Cancun
170	ACS	Alamo Commuter Airlines
171	ACT	Air Central Inc. (1)
172	ACW	Transwest Air Express
173	AD	Avia Leasing Company
174	ADB	Antonov Company
175	ADQ	Aeronaves Del Peru
176	ADR	Adirondack Airlines
177	ADV	Advantage Airlines
178	AE	Air Europe Limited
179	AEC	Astec Air East Inc.
180	AED	Air East Of Delaware Inc.
181	AEF	Aero Freight
182	AEO	Aero Coach
183	AEQ	Air Caravane Inc.
184	AEX	Air Excursions LLC (1)
185	AF	Compagnie Nat'l Air France
186	AFA	American Flag Airlines Inc.
187	AFE	Air Florida Express
188	AFG	American Flight Group
189	AFQ	Aero B Venezuela C.A.
190	AFS	Arcata Flying Service
191	AGA	Air Cargo America Inc.
192	AGQ	Argo S. A.
193	AHA	Air Alpha
194	AHC	Air Hawaii
195	AHQ	Air National
196	AI	National Aviation Company of India Limited d/b/a Air India
197	AIA	All Island Air
198	AIC	Air Caribbean
199	AIE	Air Express Inc.
200	AIG	Airgo Inc.
201	AIK	Air Ketchum Idaho Inc.
202	AIM	Air Mont. Inc.
203	AIN	Air Indiana
204	AIQ	Norontair
205	AIT	Airways International
206	AIY	Alliance Air
207	AJ	Air Micronesia Inc.
208	AJQ	Aerodynamics Inc.
209	AKQ	Airmark Airlines Inc.
210	AL	Skyway Airlines
211	ALD	Allied Airlines
212	ALE	Air-Lift Associates Inc.
213	ALI	Brandt Air
214	ALK	Air Link Airways
215	ALL	All Seasons Air Pacific
216	ALQ	Alberta Northern Airlines
217	ALS	Air L.A.
218	ALT	Altus Airlines
219	ALU	Aleutian Air
220	ALX	Atlanta Express
221	AM	Aeromexico
222	AMA	North American Airlines Inc.
223	AME	Americair Inc.
224	AMI	American Inter-Island Inc.
225	AMQ	Ameristar Air Cargo
226	AMR	AvAir
227	AMT	American Air Transport
228	ANB	Air Nebraska Inc.
229	ANC	Atlantic Air
230	AND	Southcentral Air Inc.
231	ANI	Dash Air Corporation
232	ANM	Airways Of New Mexico Inc.
233	ANO	Metro Air Northeast Vermont
234	ANT	Air North/Nenana
235	AO	Aviacion Y Comercio S.A.
236	AOI	Trans New York
237	AON	Action Airlines
238	AOQ	Aerovias S.A.
239	AOR	Air New Orleans
240	APE	Air Cape
241	APH	Alpha Air
242	API	Arizona Pacific Inc.
243	APL	Appalachian Flying Service
244	APN	Aspen Airways Inc.
245	APQ	Alas De Transporte International
246	APS	Air Spirit Inc.
247	APY	Air Polynesia Inc.
248	AQQ	Air Charter (Safa)
249	AR	Aerolineas Argentinas
250	ARA	Air Resorts Airlines
251	ARB	Air Caribe International
252	ARD	Airlift International
253	ARI	Arizona Aero Corp.
254	ARM	Airmarc Airlines Inc.
255	ARN	Arnold Aviation
256	ARO	Air Oregon
257	ARP	Airspur Helicopters Inc.
258	ARQ	Aerovias Colombianas Arca
259	ARR	Arrowhead Airways Inc.
260	ARS	Air Sedona
261	ARZ	Arizona Airways
262	AS	Alaska Airlines Inc.
263	ASC	Air South Inc.
264	ASD	Amistad Airlines
265	ASH	Air South
266	ASI	Alpine Air Services Inc.
267	ASN	Air Casino
268	ASP	Asap Air Inc.
269	ASQ	Aerosur (1)
270	ASR	Astor Air
271	AST	Astro Airways
272	ASU	Air South (1)
273	ASW	Sunrise Airlines Inc.
274	AT	Royal Air Maroc
275	ATH	Air Southeast
276	ATN	Air Atlantic Airlines Inc.
277	ATO	Pacific National Airways
278	ATQ	Aero Tranportes Panamenos
279	ATS	Atlantis Airlines Inc.
280	ATT	Aerotransit Inc.
281	ATX	Air Carolina
282	AUX	Austin Express Inc.
283	AV	Aerovias Nacl De Colombia
284	AVA	Air Vectors Airways
285	AVC	Av Center Inc.
286	AVG	Airvantage
287	AVI	Aero Virgin Islands Corp.
288	AVL	Aviation Sales
289	AVQ	Aero Laguna S.A. De C.V.
290	AVR	Air Vermont Inc.
291	AVS	Aviation Services
292	AVZ	Southern Jersey Airways
293	AWA	Air West Airlines
294	AWQ	Aermediterranea S.P.A.
295	AX	Trans States Airlines
296	AXQ	Aeron International Airlines Inc.
297	AY	Finnair Oy
298	AYQ	Aerodan S.A. De C.V.
299	AZ	Compagnia Aerea Italiana
300	AZP	Arizona Pacific Airways
301	AZQ	Anglo Airlines Ltd.
302	B6	JetBlue Airways
303	BA	British Airways Plc
304	BAA	Aero International Airlines
305	BAC	Business Aircraft Corp.
306	BAH	Brennan & Hargreaves Inc.
307	BAK	Bankair Inc.
308	BAN	Bangor International Air
309	BAQ	Aero Rentas De Coahuila S.A. De C.V.
310	BAR	Bard-Air Corp.
311	BAT	West Penn Commuter
312	BAY	Burlington Aeroplane Co.
313	BBQ	Balair Ag
314	BC	Skymark Airlines Inc.
315	BCA	Baja Cortez Airlines
316	BCQ	Bradley Air Services Ltd.
317	BD	British Midland Airways Ltd.
318	BDE	Jet Express
319	BDQ	Aerotaxis De Aguascalientes S.A. De C.V.
320	BE	Braniff International Airlines Inc.
321	BEA	Business Express Airlines
322	BEN	Bennington Aviation Inc.
323	BEQ	Air Belgium
324	BES	Aeroservices Executive
325	BEY	Beyer Aviation
326	BF	Markair Inc.
327	BFG	Million Air
328	BFQ	Buffalo Airways Inc.
329	BG	Biman Bangladesh Airlines
330	BGQ	Airbus Transport Internat'l
331	BHK	Blackhawk Airways Inc.
332	BHO	Bighorn Airways Inc.
333	BHQ	Turks Air Ltd. (1)
334	BIA	Big Island Air
335	BIQ	Servicios Aeronauticos Z S.A. De C.V.
336	BIR	Birchwood Air Service
337	BJQ	Taxirey S.A. De C.V.
338	BLQ	Air Bvi Limited
339	BM	Belize Air International Ltd.
340	BMT	Bremerton Aviation Inc.
341	BN	Britannia Airways GmbH
342	BN (1)	Braniff Inc.
343	BNQ	NetJets Large Aircraft Company L.L.C.
344	BOA	Boise Air Service
345	BOI	Bo-S-Aire Airlines Inc.
346	BOQ	Transp. Aereos Bolivianos
347	BQ	Aeromar C. Por A.
348	BR	Eva Airways Corporation
349	BR (1)	Cal Air International Ltd.
350	BRK	Barken International
351	BRO	Brower Airways Inc.
352	BRW	Barrow Air
353	BTQ	Brasair Transportes Aereos
354	BUH	Business Helicopters
355	BUQ	Wrangler Aviation Inc.
356	BUQ (1)	Blue Bell Inc.
357	BUR	Burlington Airways Inc.
358	BW	Caribbean Airlines Limited
359	BXQ	Spantax S. A.
360	BY	Britannia Airways Ltd.
361	BYA	Bay Air
362	BZQ	Abaco Air, Ltd.
363	C5	Commutair Aka Champlain Enterprises, Inc.
364	C6	Canjet Airlines
365	C8	Cargolux Italia SpA
366	C8 (1)	Chicago Express Airlines
367	CA	Air China
368	CAC	Coleman Air Transport
369	CAF	California Seaboard
370	CAI	Crawford Aviation Inc.
371	CAM	C & M Airlines
372	CAP	Metro Air Northeast N Y
373	CAQ	Challenge Air Luftverkehrs GmbH
374	CAT	Catalina Airlines Inc.
375	CAV	Air Virginia
376	CAZ	CAT Aviation
377	CB	Air One Inc.
378	CBA	Carriba Air Inc.
379	CC	Air Atlanta Icelandic
380	CC (1)	Air Atlanta Inc.
381	CCA	Cityhop
382	CCO	Chester County Aviation
383	CDQ	Kitty Hawk International
384	CEN	Cen-Tex Airlines Inc.
385	CEQ	All Canada Express
386	CET	Century Airlines (Cal)
387	CF	Compan. De Aviacion Faucett
388	CGA	Chicago Airlines
389	CGL	Viking International Airlines Inc.
390	CGO	Chicago Air Taxi
391	CH	Bemidji Airlines
392	CHD	Chandler Flyer
393	CHE	Charter Airlines
394	CHF	Hammonds Commuter Air Serv.
395	CHI	Chitina Air Service
396	CHL	Channel Flying Inc.
397	CHO	Choi Aviation Inc.
398	CHS	Christman Air System
399	CHT	Charter One
400	CI	China Airlines Ltd.
401	CIQ	A/S Conair
402	CIS	Cal Sierra Airlines
403	CJ	Colgan Airways Inc.
404	CK	China Cargo Airline
405	CKI	Inlet Airlines
406	CL	Capitol International Inc.
407	CLB	Columbia Pacific Airlines
408	CLD	Hawaii Pacific Helicopters
409	CLF	California Air Shuttle
410	CLQ	Aero Transcolombiana
411	CM	Compania Panamena (Copa)
412	CMB	Combs Airways Inc.
413	CMD	Command Airways Inc.
414	CMQ	Servicio De Carga Aerea Sa
415	CMR	Commuter Airlines (Ca)
416	CNN	Centennial Airlines
417	CO	Continental Air Lines Inc.
418	COB	Cotton Belt Aviation Inc.
419	COC	Cochise Airlines Inc.
420	COK	Coker Aviation Inc.
421	COL	Presidential Express
422	COM	Commutair
423	COR	Coral Air Inc.
424	COS	Cosmopolitan Comm. Airline
425	COT	Southeastern Commuter
426	COU	Courtesy Air Service Inc.
427	CP	Compass Airlines
428	CP (1)	Canadian Airlines International Ltd.
429	CPA	Capitol Air Lines
430	CPC	Coastal Plains Commuter Inc.
431	CPQ	Capitol Air Express Inc.
432	CPT	Capitol Air
433	CQI	Conquest Airline Corp.
434	CRA	Commuter Airlines
435	CRB	Caribair
436	CRE	Caribbean Express Inc.
437	CRH	Cresent Medivac
438	CRN	Crown Aviaiton Inc.
439	CRO	Crown Airways Inc.
440	CRP	Corporate Air
441	CRT	Crested Butte Air Service
442	CRV	Acropolis Aviation Ltd.
443	CS	Continental Micronesia
444	CSA	Casino Airlines
445	CSK	Catskill Airways Inc.
446	CSL	Central States Air Lines
447	CSM	Chisum Flying Service
448	CSN	Casino Airlines (1)
449	CSQ	Celtic Tech Jet Ltd.
450	CTA	Century Airlines
451	CTH	Cothron Aviation
452	CTL	Coastal Air Transport
453	CTQ	Custom Air Transport
454	CTR	Chartair
455	CUQ	Caicos Caribbean Airways
456	CUS	Custom Air Service
457	CV	Cargolux Airlines International S.A
458	CVA	Catalina-Vegas Airlines
459	CVQ	Caraven S.A.
460	CW	Air Marshall Islands Inc.
461	CWQ	Canadian Aviation Express
462	CX	Cathay Pacific Airways Ltd.
463	CYQ	Corse Air International
464	CZ	China Southern Airlines
465	CZ (1)	Cascade Airways Inc.
466	CZQ	Aviation Concepts
467	DA	Dan Air Services
468	DAN	Danbury Airlines
469	DAU	Dauphin Island Airways
470	DC	Caribbean Air Cargo Co Ltd.
471	DE	Condor Flugdienst
472	DEA	Downeast Airlines Inc.
473	DEC	Decatur Aviation
474	DFS	Downeast Flying Service
475	DH	Independence Air
476	DH (1)	Discovery Airways Inc.
477	DHL	DHL Airlines Inc.
478	DHQ	DHL Aero Expresso
479	DIA	Drummond Island Air
480	DIC	Dickman Aviation Services
481	DIR	Northern Star
482	DL	Delta Air Lines Inc.
483	DM	Maersk Air I/S
484	DO	Compania Dominicana De Avia
485	DOL	Dolphin Airways Inc.
486	DOQ	Aerolineas Dominicanas S A
487	DPA	Desert Pacific Airways
488	DPI	Desert Pacific Airlines Inc.
489	DQQ	Caribwest Airways Ltd.
490	DSA	Desert Sun Airlines
491	DST	Desert Airlines
492	DUL	Dulles Express
493	DUZ	Summit Airlines Inc.
494	DVO	Devoe Airlines
495	DWN	Dawn Air
496	DXA	Dolphin Express
497	DY	Norwegian Air Shuttle ASA
498	E0	EOS Airlines, Inc.
499	E7	Estafeta Carga Aereas
500	E72	European Aviation Air Charter
501	E8	USAfrica Airways Inc.
502	E9	Boston-Maine Airways
503	EA	Eastern Air Lines Inc.
504	EAI	Executive Aviation Inc.
505	EAQ	Executive Airlines, SL
506	EAS	Eastern Caribbean Airways
507	EAT	Eastman Airways Inc.
508	EBQ	Execaire Aviation Ltd.
509	ECA	Eagle Airlines (1)
510	ECI	Eastern Carolina Aviation
511	ECL	Eclipse Airlines
512	ECQ	Trans American Charter
513	ECR	East Coast Airways
514	ED	Andes
515	EDE	Ede Aire
516	EET	Exec Express II
517	EEX	Exec Express
518	EEZ	Eagle Aviation Inc.
519	EFA	Executive Four Winds
520	EFQ	Trans Europ. Airways France
521	EGA	Eagle Airline
522	EGJ	Eagle Jet Charter
523	EGL	Eagle Commuter Airlines Inc.
524	EH	Saeta Airlines
525	EHA	East Hampton Aire Inc.
526	EI	Aer Lingus Plc
527	EIA	East. Indiana Aviation Sale
528	EJQ	Aeroejecutivos C.A.
529	EK	Emirates
530	EKA	Air Pacific Inc.
531	ELL	Ellis Air Taxi Inc.
532	EM	Empire Airlines Inc.
533	EMA	Emerald Airlines
534	EME	Metro Express
535	EMP	Empire Airlines Inc. (2)
536	ENT	Enterprise Airlines Inc.
537	EOQ	Aeroservicios Ecuatorianos
